timestamp,r,g,b
0.2411130000036792,192.2868448893229,193.644287109375,189.57415771484375
0.3176277000020491,190.8920694986979,193.90447998046875,188.8670450846354
0.3303978000039933,190.8920694986979,193.90447998046875,188.8670450846354
0.3469991000019945,189.92909749348956,194.5314737955729,188.63492838541666
0.36005499999737367,189.9858194986979,194.1082560221354,189.04278564453125
0.3736023000019486,189.65791829427081,194.33742268880206,188.89276123046875
0.40392330000031507,190.466064453125,195.45072428385416,189.68400065104166
0.43724610000208486,190.99892171223956,195.32076009114581,190.40128580729166
0.46966799999790965,190.50531005859375,195.1218058268229,189.6199951171875
0.5004727999985334,190.93990071614581,195.69657389322916,190.0303955078125
0.5327933000007761,190.7625528971354,195.73683675130206,190.02534993489581
0.5637123999986215,190.80983479817706,195.88409423828125,190.03839111328125
0.5971330000029411,190.76997884114581,195.9405314127604,190.04616292317706
0.6287766000023112,190.73811848958331,195.87202962239581,189.90177408854166
0.6765347999971709,190.5973917643229,195.69547526041666,189.75126139322916
0.7098626000006334,190.44185384114581,195.5309855143229,189.62300618489581
0.7412535999974352,190.25286865234375,195.48760986328125,189.6622111002604
0.7728306999997585,190.23771158854166,195.38326009114581,189.6307373046875
0.8060562000027858,190.2657470703125,195.3756103515625,189.61014811197916
0.8387130999981309,190.18255615234375,195.3160196940104,189.5615030924479
0.8696659999986878,190.22808837890625,195.23954264322916,189.45967610677081
0.8995929000011529,190.05983479817706,195.1876017252604,189.43621826171875
0.9313611999968998,190.03420003255206,195.09822591145831,189.3395792643229
0.9628618999995524,189.9000040690104,195.0778605143229,189.37872314453125
1.0145355999993626,189.92982991536456,195.02040608723956,189.37892659505206
1.0457543000011356,189.88051350911456,195.0452880859375,189.38326009114581
1.077802799998608,189.92032877604166,195.0130411783854,189.45511881510416
1.1096651999978349,189.90958658854166,195.0018310546875,189.41312662760416
1.14193140000134,189.794677734375,194.9808349609375,189.24186197916666
1.1736333000008017,189.72499593098956,194.90999348958331,189.27193196614581
1.2046149000016158,189.7281290690104,194.88590494791666,189.13063557942706
1.2376748000024236,189.73897298177081,194.94197591145831,189.25301106770831
1.2695758999980171,189.92317708333331,195.11419677734375,189.38344319661456
1.3017382999969414,190.10591634114581,195.30983479817706,189.5390625
1.3496670000022277,190.24725341796875,195.4478759765625,189.64737955729166
1.38169100000232,190.40913899739581,195.49772135416666,189.73722330729166
1.4139959000021918,190.47013346354166,195.6080322265625,189.7535400390625
1.4453791999985697,190.47662353515625,195.75113932291666,189.90865071614581
1.4776477999985218,190.62799072265625,195.80202229817706,189.98933919270831
1.5096169000025839,190.7100626627604,195.85054524739581,190.04408772786456
1.5405039000033867,190.89815266927081,195.98799641927081,190.2203369140625
1.5738637000031304,191.02736409505206,196.1865234375,190.3189493815104
1.6034710000021732,191.1470947265625,196.27140299479166,190.4404296875
1.6512962999986485,191.1246134440104,196.2691446940104,190.30507405598956
1.6844657999972696,191.1258341471354,196.26497395833331,190.41984049479166
1.717054200002167,191.20375569661456,196.26851399739581,190.49208577473956
1.7349181000026874,191.20375569661456,196.26851399739581,190.49208577473956
1.7497615000029327,191.1260986328125,196.3297119140625,190.3764444986979
1.8123587000009138,191.35699462890625,196.43916829427081,190.60160319010416
1.843560900000739,191.3487548828125,196.51851399739581,190.61263020833331
1.8773732999979984,191.26582845052081,196.48527018229166,190.66107177734375
